168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,168,169,-1,-1,-1,-1,-1,-1,-1,-1
192,193,192,193,192,193,192,193,192,193,192,193,192,193,192,193,192,193,192,193,192,193,-1,-1,-1,-1,-1,-1,225,-1
168,169,374,375,376,377,378,-1,-1,470,471,472,473,474,-1,465,466,467,468,469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,193,398,399,400,401,402,-1,-1,494,495,496,497,498,-1,489,490,491,492,493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,169,422,423,424,425,426,-1,-1,518,519,520,521,522,-1,513,514,515,516,517,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,193,446,447,448,449,450,-1,-1,542,543,544,545,546,-1,537,538,539,540,541,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,169,-1,-1,-1,-1,-1,-1,168,169,-1,168,169,-1,168,169,-1,-1,-1,-1,168,169,-1,168,169,-1,-1,-1,-1,-1
192,193,-1,-1,-1,-1,-1,-1,192,193,-1,192,193,-1,192,193,-1,-1,-1,-1,192,193,-1,192,193,-1,-1,-1,-1,-1
168,169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,193,-1,-1,-1,-1,-1,-1,-1,-1,-1,220,222,222,222,222,222,222,222,219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121,121,121,121,121,121,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,193,-1,-1,-1,-1,-1,-1,224,-1,-1,-1,121,121,121,121,121,121,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121,120,121,121,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,193,-1,-1,-1,-1,-1,224,-1,272,273,274,-1,-1,121,121,121,120,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,169,-1,-1,-1,-1,-1,-1,-1,296,297,298,-1,-1,121,121,121,121,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,193,-1,-1,-1,-1,-1,354,-1,320,321,322,277,278,121,121,121,121,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301,302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192,193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
